MAPLE -8 2930 1
MAPLE 40 2926 1
MAPLE 88 2930 1
MAPLE 136 2926 1
MAPLE 184 2930 1
MAPLE 232 2926 1
MAPLE 280 2930 1
MAPLE 328 2926 1
GROUND -42 3006
GROUND 56 3006
GROUND 154 3006
GROUND 252 3006
GROUND 350 3006
GRASSPLATFORM 308 2942 0
GRASSPLATFORM 308 2878 1
SMALLROCKPLATFORM 242 2878 0
SMALLROCKPLATFORM 178 2878 1
SMALLROCKPLATFORM 114 2878 0
SMALLROCKPLATFORM 50 2814 1
SMALLROCKPLATFORM 114 2750 0
SMALLROCKPLATFORM 178 2750 1
SMALLROCKPLATFORM 242 2750 0
SMALLROCKPLATFORM 306 2686 1
SMALLROCKPLATFORM 242 2622 0
SMALLROCKPLATFORM 178 2622 1
SMALLROCKPLATFORM 114 2622 0
TREE 276 2406 0
GRASSPLATFORM 270 2540 0
GRASSPLATFORM 308 2540 1
BUSH 262 2508 0
GRASSPLATFORM 18 2622 0
GRASSPLATFORM 18 2558 1
SMALLROCKPLATFORM 18 2494 1
SMALLROCKPLATFORM 82 2430 0
SMALLROCKPLATFORM 146 2366 1
SMALLROCKPLATFORM 210 2430 0
SMALLROCKPLATFORM 274 2366 1
SMALLROCKPLATFORM 338 2302 0
SMALLROCKPLATFORM 274 2238 1
SMALLROCKPLATFORM 210 2174 0
SMALLROCKPLATFORM 146 2238 1
SMALLROCKPLATFORM 82 2174 0
SMALLROCKPLATFORM 18 2110 1
MAPLE 308 2046 0
ROCKPLATFORM 324 2126 1
FLOWERS 358 2110 1
GRASSPLATFORM 18 2040 0
BUSH 16 2008 1
SMALLROCKPLATFORM 178 2040 0
SMALLROCKPLATFORM 306 1976 1
SMALLROCKPLATFORM 178 1912 0
SMALLROCKPLATFORM 50 1848 1
SMALLROCKPLATFORM 178 1784 0
GRASSPLATFORM 308 1784 1
SMALLROCKPLATFORM 338 1720 1
#
PIGEON 200 2976
PIGEON 44 2592
PIGEON 292 2510
PIGEON 358 2096
CROW 140 2740 1 .030 0 .030
CROW 132 2570 1 .10 1 .006
CROW 196 2570 1 .10 1 .006
CROW 44 2418 1 .030 0 .030
CROW 172 2418 1 .030 0 .030
CROW 234 2254 0 .010 0 .010
CROW 106 2254 0 .010 0 .010
CROW 44 2162 1 .030 0 .030
CROW 172 2162 1 .030 0 .030
CROW 48 1784 1 .008 0 .02
CROW 140 1772 1 .030 0 .030
PLAYER 50 2932 1
#
PORTAL 322 1716 2
PORTAL 50 3002 0
