SMALLROCKPLATFORM 308 2972 0
SMALLROCKPLATFORM 184 3042 1
SMALLROCKPLATFORM 84 3004 0
ROCKPLATFORM -34 2918 1
FLOWERS 16 2902 0
ROCKPLATFORM 96 2854 0
ROCKPLATFORM 224 2790 1
MAPLE 104 2642 0
ROCKPLATFORM 96 2726 0
FLOWERS 118 2710 1
TREE 224 2522 0
GRASSPLATFORM 224 2662 0
GRASSPLATFORM 276 2662 0
GRASSPLATFORM 328 2662 0
BUSH 272 2630 0
BUSH 340 2630 0
SMALLROCKPLATFORM 18 2598 1
SMALLROCKPLATFORM 82 2534 0
SMALLROCKPLATFORM 18 2470 1
SMALLROCKPLATFORM 82 2406 0
SMALLROCKPLATFORM 146 2342 1
ROCKPLATFORM 210 2278 0
FLOWERS 218 2262 1
SMALLROCKPLATFORM 338 2342 0
SMALLROCKPLATFORM 18 2278 0
ROCKPLATFORM 82 2214 1
FLOWERS 136 2198 0
SMALLROCKPLATFORM 210 2150 0
SMALLROCKPLATFORM 274 2086 1
SMALLROCKPLATFORM 338 2150 0
GRASSPLATFORM -18 2086 1
SMALLROCKPLATFORM 18 2028 1
GRASSPLATFORM -18 1964 0
GRASSPLATFORM 46 1900 1
MAPLE 144 1890 1
MAPLE 194 1880 1
GRASSPLATFORM 142 1964 0
GRASSPLATFORM 180 1964 1
GRASSPLATFORM 276 1872 0
GRASSPLATFORM 302 1822 1
SMALLROCKPLATFORM 338 1756 0
SMALLROCKPLATFORM 274 1690 1
SMALLROCKPLATFORM 210 1624 0
ROCKPLATFORM 50 1532 1
ROCKPLATFORM 34 1472 0
ROCKPLATFORM 18 1412 1
FLOWERS 38 1396 0
FLOWERS 60 1396 1
PIGEON 142 2824
PIGEON 236 2760
PIGEON 236 2632
PIGEON 172 1934
PIGEON 82 1502
CROW 288 2518 1 .10 1 .010
CROW -42 2428 1 .016 0 .10
CROW 168 2262 1 .014 0 .014
CROW 40 2198 1 .014 0 .014
CROW 60 1778 1 .008 0 .14
CROW 140 1564 1 .016 0 .08
PLAYER 292 2890 0
PORTAL 38 1408 2
PORTAL 292 2968 0
