ROCKPLATFORM 18 3004 0
FLOWERS 16 2990 0
FLOWERS 38 2990 0
FLOWERS 60 2990 0
FLOWERS 82 2990 0
ROCKPLATFORM 270 3004 1
FLOWERS 268 2990 1
FLOWERS 290 2990 1
FLOWERS 312 2990 1
FLOWERS 334 2990 1
SMALLROCKPLATFORM 178 3004 0
SMALLROCKPLATFORM 226 2940 1
SMALLROCKPLATFORM 130 2940 1
SMALLROCKPLATFORM 274 2876 0
SMALLROCKPLATFORM 82 2876 0
SMALLROCKPLATFORM 322 2812 1
SMALLROCKPLATFORM 34 2812 1
SMALLROCKPLATFORM 370 2748 0
SMALLROCKPLATFORM 274 2748 0
SMALLROCKPLATFORM -14 2748 0
SMALLROCKPLATFORM 82 2748 0
MAPLE 122 2672 1
MAPLE 162 2672 1
MAPLE 202 2672 1
GRASSPLATFORM 144 2748 0
GRASSPLATFORM 182 2748 1
FLOWERS 142 2734 0
FLOWERS 164 2734 0
FLOWERS 186 2734 0
FLOWERS 208 2734 0
SMALLROCKPLATFORM 322 2684 1
SMALLROCKPLATFORM 34 2684 1
SMALLROCKPLATFORM 274 2620 0
SMALLROCKPLATFORM 82 2620 0
SMALLROCKPLATFORM 226 2556 1
SMALLROCKPLATFORM 178 2492 0
SMALLROCKPLATFORM 226 2428 1
SMALLROCKPLATFORM 130 2428 1
SMALLROCKPLATFORM 274 2364 0
SMALLROCKPLATFORM 82 2364 0
SMALLROCKPLATFORM 322 2300 1
SMALLROCKPLATFORM 34 2300 1
SMALLROCKPLATFORM 274 2236 0
SMALLROCKPLATFORM 82 2236 0
SMALLROCKPLATFORM 130 2172 1
SMALLROCKPLATFORM 130 2300 1
SMALLROCKPLATFORM 226 2300 1
SMALLROCKPLATFORM 178 2108 0
TREE 10 2358 1
TREE 268 2358 0
ROCKPLATFORM 18 2492 0
FLOWERS 16 2478 0
FLOWERS 38 2478 0
FLOWERS 60 2478 0
FLOWERS 82 2478 0
ROCKPLATFORM 270 2492 1
FLOWERS 268 2478 1
FLOWERS 290 2478 1
FLOWERS 312 2478 1
FLOWERS 334 2478 1
SMALLROCKPLATFORM 226 2044 1
SMALLROCKPLATFORM 130 2044 1
SMALLROCKPLATFORM 274 1980 0
SMALLROCKPLATFORM 82 1980 0
SMALLROCKPLATFORM 226 1916 1
SMALLROCKPLATFORM 178 1852 0
TREE 22 1974 0
TREE 256 1974 1
ROCKPLATFORM 18 2108 0
FLOWERS 16 2094 0
FLOWERS 38 2094 0
FLOWERS 60 2094 0
FLOWERS 82 2094 0
ROCKPLATFORM 270 2108 1
FLOWERS 268 2094 1
FLOWERS 290 2094 1
FLOWERS 312 2094 1
FLOWERS 334 2094 1
ROCKPLATFORM 18 1852 0
FLOWERS 16 1838 0
FLOWERS 38 1838 0
FLOWERS 60 1838 0
FLOWERS 82 1838 0
ROCKPLATFORM 270 1852 1
FLOWERS 268 1838 1
FLOWERS 290 1838 1
FLOWERS 312 1838 1
FLOWERS 334 1838 1
SMALLROCKPLATFORM 130 1788 1
SMALLROCKPLATFORM 178 1724 0
MAPLE 146 1432 1
MAPLE 84 1358 0
MAPLE 340 920 1
MAPLE 290 852 1
MAPLE 154 632 0
ROCKPLATFORM 144 1652 0
FLOWERS 142 1638 0
FLOWERS 164 1638 0
FLOWERS 186 1638 0
FLOWERS 208 1638 0
ROCKPLATFORM 128 1580 1
FLOWERS 126 1566 1
FLOWERS 148 1566 1
FLOWERS 170 1566 1
FLOWERS 192 1566 1
ROCKPLATFORM 96 1508 0
FLOWERS 94 1494 0
FLOWERS 116 1494 0
FLOWERS 138 1494 0
FLOWERS 160 1494 0
ROCKPLATFORM 48 1436 1
FLOWERS 46 1422 1
FLOWERS 68 1422 1
FLOWERS 90 1422 1
FLOWERS 112 1422 1
ROCKPLATFORM -16 1364 0
FLOWERS -18 1350 0
FLOWERS 4 1350 0
FLOWERS 26 1350 0
FLOWERS 48 1350 0
GRASSPLATFORM 46 1272 0
BUSH 44 1240 0
GRASSPLATFORM 124 1272 1
GRASSPLATFORM 202 1272 0
BUSH 200 1240 1
GRASSPLATFORM 280 1272 1
BUSH 278 1240 0
GRASSPLATFORM 46 1180 1
GRASSPLATFORM 124 1180 0
BUSH 122 1148 1
GRASSPLATFORM 202 1180 1
BUSH 200 1148 0
